レベル1,レベル2,レベル3,レベル4,フィールド,フィールド詳細
いい人をお選びになったのですね。,いい人をお選びになりましたね。,いい人を選びましたね。,いい人を選んだね。,選ぶ,迷う
あなたのお見立てでしたら間違いないはずです。,あなたのお見立てなら間違いはないはずだ。,あなたの見立てなら間違いないはずです。,君の見立てなら間違いないはず。,選ぶ,迷う
プレゼントですか？良さそうなものを見立てましょうか？,プレゼントですか？良さそうなのをお見立てしましょうか？,プレゼントですか？良さそうなのを見立てますよ？,プレゼント？良さそうなのを見立てようか？,選ぶ,迷う
さすがにお目が高いですね、勉強になります。,さすがにお目が高いですね、恐れ入りました。,さすがにお目が高いですね、おみそれしました。,さすがにいい目してるね、見直したよ。,選ぶ,迷う
ご吟味は、もう済まされましたか？,ご吟味は、もうお済みですか？,チェックは、もう済みましたか？,チェックは、もう済んだ？,選ぶ,迷う
十分に吟味された方がよろしいかと思います。,十分に吟味なさる方がよろしいかと存じます。,十分に吟味した方がいいかと思います。,よく考えてからの方がいいと思うよ。,選ぶ,迷う
まあ、特定のものを選ぶのは〇〇さんの自由なのですが…。,そりや、選り好みなさるのはあなたのご自由ですけど。,そりや、選り好みするのはあなたの自由ですけどね。,そりや、選り好みするのは君の自由だけど。,選ぶ,迷う
あなたのご選択で間違いありません。,あなたのご選択は間違いないと思います。,あなたの選択は間違いないと思います。,君の選択は間違いないよ。,選ぶ,迷う
最強のメンバーを選抜されたんですね、監督！,最強メンバーを選抜なさいましたね、監督！,最強メンバーを選抜しましたね、監督！,最強メンバーを選んだんだね、監督！,選ぶ,迷う
応募作品をご選考ください。,応募作品を選考なさってください。,応募作品を選考してください。,応募作品を選考してね,選ぶ,迷う
りんごは、糖度で選別のだそうで。,りんごは、糖度で選別なさるそうですね。,りんごは、糖度で選別するそうですね。,りんごは、糖度で選別するそうだね。,選ぶ,迷う
どちらも捨てがたい、迷われるのは当然のことです。,どちらも捨てがたい、お迷いになるのは当然です。,どちらも捨てがたい、迷うのは当然です。,どっちも捨てがたい、迷うに決まってるよ。,選ぶ,迷う
素敵な男性が揃った場合、目移りすることもあるでしょうね。,いい男が揃ったから、お目移りするのも無理ないわね。,素敵な男性が揃ったので、目移りするのも無理ないですね。,いい男が揃ったから、目移りするのも無理ないね。,選ぶ,迷う
どうか、お煙草はご遠慮いただけますでしょうか。,どうか、お煙草はご遠慮ください。,どうか、煙草は遠慮してください。,ごめん、煙草は吸わないでね。,遠慮,我慢
遠慮なんてなさらず、ご自分でお決めください。,遠慮なさらず、ご自分でお決めになってください。,遠慮せず、自分で決めてください。,遠慮しないで、自分で決めてね。,遠慮,我慢
明日ですが、午後一時にご来社ください、とのことをお伝えします。,明日、午後一時にご来社ください、とのことです。,明日、午後一時に来社してください、とのこです。,明日は、午後一時に来社して、とのこと。,受付,案内
お客様を応接間に、お通ししました。,お客様を応接室に、お通しいたしました。,お客様を応接間に、通しました。,お客さんを応接間に、通したよ。,受付,案内
ただいま、お取り次ぎしますので、少々お待ちいただけますでしょうか。,ただいま、お取り次ぎいたします、少々お待ちください。,いま、取り次ぎます、少し待っててください。,いま、代わるよ、ちょっと待ってて。,受付,案内
小説家の先生が、いらっしゃいました。,小説家の先生が、お見えになりました。,小説家の先生が、見えました。,小説家の先生が、来たよ。,受付,案内
応接間にご案内いたします。どうぞこちらの方へ…。,応接室にご案内します。どうぞこちらへ…。,応接間に案内します。どうぞこっちです…。,応接間に連れてくね。はいこっち…。,受付,案内
あの方はどなたにも穏やかに対応されるのですね。,あの方はどなたにも穏やかに応対なさるわね。,あの人は誰にでも穏やかに対応するのですね。,あの人は誰にでも穏やかに対応するんだね。,受付,案内
貴社の成長の秘訣は、どこにあるのでしょうか。,貴社の成長の秘密は、どこにあるんですか？,貴社の成長の秘密は、どこにあるのですか？,会社の成長の秘密は、どこにあるの？,受付,案内
御社のご担当者様に、お伝えいただけますでしょうか？,御社のご担当者様に、お伝え願えませんか？,そちらの担当者さんに、伝えてくれませんか？,そっちの担当に、伝えてくれる？,受付,案内
貴社におかれましては、ますますのご清栄のことと存じますます。,御社におかれましては、ますますのご発展で...。,御社は、ますます発展のようで…。,おたくは、繁盛してるね。,受付,案内
当社に限りまして、そのような偽装はあり得ません。,当社に限って、そのような偽装はございません。,当社に限って、そのような偽装はありません。,うちに限って、そんな偽装はない。,受付,案内
石の上にも三年、弊社もついに軌道に乗ったところです。,石の上にも三年、小社もやっと軌道に乗りました。,石の上にも三年、うちの会社もやっと軌道に乗りました,石の上にも三年、うちもやっと軌道に乗ったよ。,受付,案内
弊社が社運を賭けた新製品を発表させていただきます。,弊社が社運を賭けた新製品を発表いたします。,弊社が社運を賭けた新製品を発表します。,うちの会社が社運を賭けた新製品を発表するよ。,受付,案内
ただいま、係りの者が参りますので。,ただいま、係りの者が参ります。,ただいま、係りの人が来ます。,もうすぐ、係りの人が来るよ。,受付,案内
担当の者をお呼びしました。,担当の者が承ります。,担当の者が来ます。,担当の人が来るよ。,受付,案内
お客様がいらっしゃいました。,お客様がお見えになりました。,お客様が見えました。,お客さんが来たよ。,受付,案内
お客様のお名前を頂戴できますでしょうか？,お客様のお名前を頂戴できますか？,お客様の名前を教えてください。,お客さんの名前は？,受付,案内
本日は、お約束でしょうか？,本日は、お約束でいらっしやいますか？,本日は、約束ですか？,今日は、約束なの？,受付,案内
ご訪問の趣旨を、お聞きしてもよろしいでしょうか？,ご訪問の趣旨を、お聞かせ願えますか？,訪問の趣旨を、聞いてもいいですか？,なんで来たの？,受付,案内
お急ぎのご用件でしょうか？,お急ぎのご用でしょうか？,急ぎの用ですか？,急用なの？,受付,案内
ご用件をお伺いしてもよろしいでしょうか？,ご用件はどのようなことでございますか？,用件は何ですか？,用件は何？,受付,案内
こちらにいらっしゃったのは、どういったご用件からでしょうか？,こちらにお見えになったのは、どのようなご用向きでしょうか？,こちらに来たのは、どんな用事があってですか？,ここに来たのは、何か用があってなの？,受付,案内
私で問題ございませんでしたら承ります。,私でよろしかったら承ります。,私でよかったらやります。,私でいいならやるよ。,受付,案内
さようでございますか。いましばらくお待ちください。,畏まりました。しばらくお待ちください。,わかりました。ちょっと待っててください。,わかった。ちょっと待ってて。,受付,案内
ご面会の受付はこちらで承ります。,ご面会はこちらでお受け付けしております。,面会はこちらで受け付けしています。,面会はこっちで受け付けてるよ。,受付,案内
私に何なりとおっしゃってください。,私に何なりとお申し付けください。,私に何でも言ってください。,私に何でも言ってね。,受付,案内
ご入用のものがございまそたら、おっしゃってください。,お入り用のものがございましたら、お申し付けください。,必要なものがあったら、言ってください。,要るものがあったら、言ってね。,受付,案内
取材旅行には、ワゴン車がご入用とお伺いしました。,取材旅行には、ワゴン車がご入用だそうですね。,取材旅行には、ワゴン車が要るようですね。,取材旅行には、ワゴン車が要るみたいだね。,受付,案内
すべてお揃いでよろしいでしょうか？,ご不足のものは、ございませんか？,足りないものは、ありませんか？,足りないものは、ない？,受付,案内
ご用事がお済みになるまで、こちらでお待ちしております。,ご用事が済むまで、ここでお待ちします。,用事が済むまで、ここで待ってます。,用事が済むまで、ここで待ってるね。,受付,案内
お申し付けくださり、ありがとうございます。,ご用命をいただきまして、ありがとうございます。,ご注文、ありがとうございます。,使ってくれて、ありがとう。,受付,案内
落成式にはぜひ出席させていただきたく存じます。,落成式には喜んでお祝いに伺います。,竣工式には喜んでお祝いに行きます。,竣工式には必ずお祝いに行くよ。,祝う,
お祝い返しの品を選びに行って参りました。,お祝い返しの品を選びに行ってきました。,お祝い返しの品を見に行ってきました。,お祝い返しの品を選びに行ってきた。,祝う,
父の米寿のお祝い事ですので、どうぞお気兼ねなさらず。,父の米寿のお祝い事ですから、どうぞ遠慮なさらないで。,父の米寿のお祝い事なので、全く遠慮しなくていいですよ。,お父さんの88歳のお祝いだから、全然いいんだよ。,祝う,
謹んでお慶申し上げます。,心からお祝い申しあげます。,誠におめでとうございます。,ほんとにおめでとう。,祝う,
それでは、ご友人の方から、お祝いのお言葉を賜りたく存じます。,それでは、お友達から、お祝いの言葉をどうぞ。,それでは、友達から、お祝いの言葉をお願いします。,それじゃあ、友達から、お祝いの言葉を言ってこうか。,祝う,
先方の顔を思い浮かべながら、お祝いの品を選ぶのは喜ばしいことですね。,先様のお顔を思い浮かべながら、お祝いの品を選ぶのは楽しいわね。,先方の顔を思い浮かべながら、お祝いの品を選ぶのは楽しいですね。,相手の顔を思い浮かべながら、お祝いの品を選ぶのは楽しいね。,祝う,
早速ですが、お祝いの席を設けたいと思います。,早速、お祝いの席を設けましょう。,早速、お祝いの会を開きましょう。,すぐに、お祝いの会を開こう。,祝う,
お祝い品を持って参りました。,お祝い物を持ってあがりました。,お祝いの物を持ってきました。,プレゼント持ってきたよ。,祝う,
誕生祝いに、ベビーシューズを二足だなんて心配りが利いていますね。,お誕生祝いに、ベビーシューズを二足というのも気が利いてますね。,誕生祝いに、ベビーシューズを二足というのも気が利きますね。,誕生祝いに、ベビーシューズ二足ってナイスだね。,祝う,
それでは、会長からお祝いのご挨拶を頂戴いたします。,それでは、会長からお祝辞を賜りたいと存じます。,それでは、会長から祝辞をいただきます。,それじゃあ、会長からお祝いのメッセージをもらおう。,祝う,
ご祝儀は、短い方が感じがいいですよ。,ご祝儀は、短い方が喜ばれますよ。,ご祝儀は、短い方が喜びますよ。,ご祝儀は、短い方が喜ぶよ。,祝う,
ご祝儀袋は、中身相応のものでよいかと思います。,ご祝儀袋は、中身にふさわしいものでいいと思います。,ご祝儀袋は、中身に合ってるものでいいと思います。,ご祝儀袋は、中身と同等のでいいんじゃない？,祝う,
当選の祝宴は、ご盛況でしたね。,当選のご祝宴は、とても賑やかでしたね。,当選の祝宴は、かなり賑やかでしたね。,当選パーティーは、めっちゃ賑やかだったね。,祝う,
故郷では、祝賀行事が続いているのだそうですね。,お国元では、ご祝賀の行事が続いているそうですね。,故郷では、祝賀の行事が続いているらしいですね。,そっちでは、お祝いの行事が続いてるんだってね。,祝う,
この度はおめでとうございます。お二人のご多幸をお祈りいたします。,おめでとう！お二人のご幸福を陰ながら祈ってるわ。,おめでとうございます！二人の幸福を陰ながら祈ってます。,おめでとう！二人の幸せを陰ながら祈ってるよ。,祝う,言葉
これからのサッカー人生が幸多からんことをお祈りします。,幸多きサッカー人生を歩んでください。,幸多きサッカー人生でありますように。,幸多きサッカー人生を歩んでね。,祝う,言葉
昇進で、第一子誕生に花を添えることができましたね。,昇進で、第一子誕生に花をお添えになりましたね。,昇進で、第一子誕生に花を添えましたね。,子供産まれるのにプラスして、昇進もあって最高になったね。,祝う,言葉
謹んでお慶び申し上げます。,なんとも痛快無比、ご同慶の至りです。（手紙文）,とても喜ばしいです。,とっても嬉しいです。,祝う,言葉
貴店のますますのご発展、ご繁栄をお祈り申し上げます。,お店のますますのご繁栄を、お祈りいたします。（手紙文）,お店のさらなる繁栄を、お祈りします。,お店がどんどん繁盛しますように。,祝う,言葉
それは何よりです、幸運に恵まれたのですね。,それは良かったわ、ご幸運に恵まれましたね。,それは良かったです、幸運でしたね。,それは良かった、ラッキーだったね。,祝う,言葉
平にご勘弁ください。,どうぞお許しください,すいませんでした,ごめんね,謝る,言葉
当方の不行き届きで、誠に申し訳ございません。,こちらの間違いで、申し訳ありません,間違っていたので、すいませんでした,違っていたみたいでごめん,謝る,言葉
私の不手際でした、申し訳ございません。,私の間違いで、申し訳ありません,私が間違っていたようですいません,私が間違ってたから、ごめんね,謝る,言葉
落選は、私の不徳の致すところでございます。,落選は、私が力不足でした,落選は、私ができなかったからです,出来が悪くて落選したわ,謝る,言葉
私の顔に免じて、ここはひとつ、お許しのほどを。,私に免じてお許しください,私のためと思って許してください,私のために許して,謝る,言葉
私の不明から、このような事態を招きまして、申し訳ありません。,私が至らなくてこんな事態になって申し訳ないです,私の不出来でこんな事態になってすいませんでした,私がまずかったみたいで、こんなことになってごめん,謝る,言葉
お部屋の家具を一新なさったんですね。,お部屋の家具を全部新しくされたんですね,お部屋の家具をみんな新しくしたんですね,部屋の家具を全部とっかえたんだ,改める,
その方針は、お変えになった方がよろしいかと存じます。,その方針はやめられたほうがいいと思います,その方針はやめたほうがいいですよ,その方針はやめておきなよ,改める,
息子さん、帰省なさったんですね、今朝、港でお見受けしました。,息子さん帰省されたのですね今朝港でお見掛けしました,息子さん帰省されたようで今朝港で見かけました,息子さん帰省したんだね今朝港で見たよ,登場,
先生がご挨拶にお見えになりました。,先生がご挨拶にいらっしゃいました,先生がご挨拶に来られました,先生があいさつに来たよ,登場,
浅草では荷風先生を、よくお見かけしたものです。,浅草では荷風先生をよく見かけました,浅草では荷風先生をよく見ました,浅草では荷風先生をよく見たよ,登場,
表通りにお目見えしたフレンチの店、評判はいかが？,表通りに開店したフレンチの店、評判はどうですか,表通りに開店したフレンチの店、評判はどんなかな,表通りに開店したフレンチの店、評判はいい？,登場,
先生は市民の食習慣を、ご改善になりました。,先生は市民の食習慣を改善されました,先生は市民の食習慣を改善しました,先生は市民の食習慣を改善した,改める,
病気予防のためにも、食生活を改善なさるべきでしょう。,病気予防のためにも、食生活を改善されたほうがいいでしょう,病気予防のためにも、食生活を改善したほうがいい,病気予防のためにも、食生活を改善しなさい,改める,
この製品を改良なさるのは何年ぶりですか？,この製品を改良されるのは何年ぶりですか？,この製品を改良するのは何年ぶりですか？,この製品を改良するのは何年ぶり？,改める,
許可証のご更新は、お早めにお願いいたします。,許可証の更新は早めにお願いします,許可証の更新は早くしてください,許可証の更新ははやくしなさい,改める,
車の免許を更新なさる頃ではございませんか？,車の免許を更新される頃ではありませんか,車の免許を更新する頃ではないですか,車の免許を更新する頃じゃない？,改める,
今後、態度をお改めになることを期待しております。,今後、態度を改められるようにお願いいたします,今後、態度を改めるように望みます,今後、態度を改めてもらいたいと思う,改める,
総理、いつ内閣を改造なさるおつもりですか？,総理、いつ内閣を改造されるつもりですか？,総理、いつ内閣を改造するつもりですか？,総理、いつ内閣改造するの？,改める,
いよいよ、政治の世界に転身なさるそうですね。,いよいよ、政治の世界に転身されるんですね,いよいよ、政治の世界に転身するらしいですね,いよいよ、政治の世界に転身するらしいね,改める,
そうら案の定、お出なすった。,なるほどやっぱり、いらっしゃった,やっぱりだね、お出ましか,思った通り来たね,登場,現れる
春の園遊会で、お姿を拝見しました。,春の園遊会で、お姿を見かけました,春の園遊会にいましたね,春の園遊会にいたね,登場,現れる
旅行してらしたの？暫く姿をお見せにならなかったわね。,旅行されてたの？暫くお見掛けしなかったわね,旅行してたんですか？暫く見かけませんでしたわね,両行してたのかな？暫く見なかったわね,登場,現れる
師匠は人前にお出になるのが苦手なんです。,師匠は人前に出るのが好きではありません。,師匠は人見知りなんです,師匠は人見知りなんだよ,登場,現れる
よくそんなところへ、お出ましになったものですね。,よくそんなところへ、行かれたもんですね,よくそんなところへ行きましたね,よくそんなところへ行ったね,登場,現れる
これはこれは、珍客のご入来だ。,これはこれは、珍しい人がいらした,これはこれは珍しい人が来た,これはこれは珍しい人だね,登場,現れる
待ってください、そんなに速くお歩きにならないで。,待ってください。そんなに早く歩かないでください,待ってください、もう少しゆっくり歩いて,待って、もっとゆっくり歩けよ,歩く,通う
驚きました、二駅も歩かれるんですか。,驚きました、二駅も歩くのですか,驚きました、二駅も歩くなんて,驚いた、二駅も歩くの,歩く,通う
パジャマであちこち歩き回るのではたいへんですね,パジャマであちこち歩き回られるとはね。,パジャマであちこち歩き回るのはどうでしょう,パジャマであちこち歩き回るなんて,歩く,通う
お召し物を汚さぬよう、気をつけてお進みになってください。,お召し物を汚さないように、気を付けて進まれてください,衣服を汚さないように気を付けて進んでください,着てるものを汚さないように気を付けて進みなさい,歩く,通う
初めてパリの町を闊歩なさったご気分は、いかがでしたか?,初めてパリの町を闊歩されて気分はどうでしたか？,初めてパリの町を闊歩してみて気分はどうですか？,初めてパリの町を闊歩して、どんな気分？,歩く,通う
老師は山寺で気ままにご散策を楽しんでおられます。,老師は山寺で自由に散策を楽しんでいらっしゃいます。,老師は山寺で自由に散策を楽しんでいます,老師は山寺で好きなように散策を楽しんでるよ。,歩く,通う
コスモス畑を散策されるのもいいんじやないですか?,コスモス畑を散策するのも悪くありませんよ。,コスモス畑を散策するのもいいですね,コスモス畑の散策もいいんじゃない。,歩く,通う
お客様、お散歩でしたら、海辺がよろしいかと思います。,お客様、お散歩には海辺がいいと思います。,お客様、散歩するなら海辺がいいですよ。,お客様、散歩は海辺がいいよ。,歩く,通う
犬と一緒に散歩なさるのが、院長先生の日課です。,犬と一緒に散歩されるのが院長先生の日課です。,犬と一緒に散歩するのが院長先生の日課です,犬と一緒に散歩するのが院長先生の日課だ,歩く,通う
毎週同一路線を往復なさる方には、割引があるという話です。,毎週同一路線を往復する人には、割引があるという話です,毎週同一路線往復の人には、割引があるらしいです,毎週同一路線往復の人は割引があるらしいよ,歩く,通う
英会話教室に、お通いになっていらっしゃるそうですね。,英会話教室に、通っておられるそうですね,英会話教室に通っているんですね,英会話教室に通ってるの,歩く,通う
あの店に足繁く通われるのは、何かお目当てがあるんでしょ?,あの店によく行かれているのは、何か目的がおありなんでしょ,あの店によく行くのは何か目的があるからですか,あの店によく行くのは何のためなの,歩く,通う
今日はどちらにお回りになるんですか?,今日はどちらに回られるんですか？,今日はどちらへまわるんですか？,今日はどこに行くつもり？,歩く,通う
火の用心で町内を回られるんですって?,火の用心で町内を巡回するんですか？,火の用心で町内を巡回するの？,日の用心で町内をぐるっと？,歩く,通う
もう大丈夫です。どうぞご安心ください。,もう問題ありませんので、安心してください,問題ありませんから、安心して,大丈夫だから安心して,安心,
就職が決まって、ご両親も、さぞ安心なさったことでしょう。,就職が決まって、ご両親も安堵されたでしょう,就職が決まって、ご両親もほっとされたでしょう,就職が決まって、両親も喜んだだろう,安心,
もう大丈夫、峠は越えました。ご安堵なさってください。,もう大丈夫、峠は越えたので安心されてください,もう大丈夫、峠は越えたから安心してください,もう大丈夫、峠は越えたから安心して,安心,
娘さんが結婚されて、安堵なさったんじゃないですか?,娘さんが結婚されて、安心されたんじゃないでしょうか,娘さんが結婚して、安心したんじゃないですか,娘さんが結婚してほっとしたんじゃない？,安心,
お仕事が一段落して、やっとお気が休まりますね。,お仕事がひと段落して、ようやく落ち着かれますね,仕事がひと段落して、ようやくほっとしますね,仕事が一段落して、ほっとするね,安心,
息子さんが帰国なさって、お心丈夫でしょうね。,息子さんが帰国されて、心強いことですね,息子さんが帰国してくれて頼りになりますね,息子さんの帰国で安心だね,安心,
ご主人が戻られて、奥様もお心強いですね。,ご主人が戻られて安心されましたね,ご主人が戻られてほっとしますね,ご主人が戻られてやれやれだね,安心,
どうぞ、お心を安らかにお持ちください。,どうぞ心を安らかにされてください,どうぞこころを安らかにしてください,こころを安らかにね,安心,
ご隠居は、お安らかなお顔でお寝みになっています。,ご隠居は、安らかな顔で寝ていらっしゃいます,ご隠居は安らかな顔で寝ています,ご隠居はゆったりと寝ているよ,安心,
ご子息のお勤め先が決まって、肩の荷を下ろされましたね。,ご子息の勤務先が決まって、肩の荷が下りましたね,ご子息の勤務先が決まって、ほっとしましたね,ご子息の勤務先が決まって安心だね,安心,
ケガも軽くて、ほっとなさったんじやないですか？,ケガも軽くて、ほっとされたことでしょう,ケガも軽くて、安心ですね,ケガも軽くて、良かったね,安心,
大事に至らず、校長も胸を撫で下ろされています。,大事に至らなくて、校長も安心されています,大事にならなくて、校長もほっとしています,大事にならなくて、校長もほっとしてる,安心,
坊ちゃんが店を継がれるとは良かったですね。これで安泰です。,坊ちゃんが店を継がれる、そりや良かった。これでご安泰だ。,坊ちゃんが店を継がれるのは何よりです。これで安泰。,坊ちゃんが店を継がれれば安泰だね,安心,
こんな時代でも、御社はご磐石ですね。,こんな時代でも、御社はゆるぎなくてけっこうですね。,こんな時代でも、御社はゆるぎなくて素晴らしい。,こんな時代でも、御社は心配なしだね。,安心,
肝機能の数値もいいので、このまま安定なさるといいですね。,肝機能の数値もいいから、このまま安定だといいですね,肝機能の数値もいいし、このまま安定だといいね,肝機能の数値もいい、このまま安定するといいな,安心,
ご不満があるようでしたら、はっきりと一言おっしゃってください,ご不満があるなら、はっきりおー言いになったらよろしいのに。,ご不満がおありなら、はっきり一言言ってください。,不満があるなら言ってくれればいい,言う,
僧正は、今の場所でがんばることが一所懸命だと申されました,僧正は、今の場所でがんばることが一所懸命だと言われました。,僧正は、今の場所でがんばることが一所懸命だと言いました。　,僧正は、今の場所でがんばるのが一所懸命だと言った,言う,
そんなことを急に言いだれても困りますわ、どうされましたか？,そんなことを急に言い出されても困るわ、どうかなさったの?,そんなことを急に言い出して、どうしたのですか？,そんなこと急に言い出してなんなんだ？,言う,
お客様が腹を立てられるのは、ごもっともです。,お客様のお腹立ちは、ごもっともです。,お客様が怒られるのはもっともです。,お客様が怒るのは仕方ない,言う,
温厚なあの方が激怒なさるなんて、よほどのことね。,温厚なあの方が激怒するとは、よほどのことですね。,温厚な人が怒るなんて、よほどだったのね,温厚な人が怒るのはそれなりのことがあるね,言う,
あたなのお話も理解出来ます。,あなたのおつしやることにも一理ある。,あなたの言葉も正しいと思います。,あなたの言葉も納得出来ます。,言う,
威張った言い方、もう1回言ってみなさい!,まあ生意気な、もう一度言ってごらん!,生意気な言葉もう1回話してごらん!,まあなんて生意気、もう1度反省!,言う,
私には、身の丈に合わないお言葉です。,私には、過分なお言葉でございます。,私には、相応しくないお言葉です。,私には、似つかわしくない。,言う,
皇后様は、避難している全員に安心出来る言葉を下さいました。,皇后様は、避難所の方々に優しい言葉をおかけになっていました。,皇后様は、避難している皆に丁寧に言葉をかけ、接してくれました。,皇后様は、避難している人に対し温かい言葉をくれた。,言う,
ご自分の意見を真っすぐにおっしゃいましたね。,ご自分の意見をストレートにお述べになりましたね。,ご自分の意見を貫きましたね。,ご自分の気持ちをそのまま伝えたね。,言う,
ここは、ご自分の意見をはっきりおっしゃるべきですよ。,ここは、ご自分の意見を率直に述べられるべきですよ。,ここは、自分の意見を明確に言うべきですよ。,ここは、ご自分の意見を正確に伝えるべき。,言う,
あなたのご考えは今年も見事でしたね。,あなたのご口上は今年も見事でしたね。,あなたの意見はお見事でしたね。,あなたの考えは私も驚いた。,言う,
誠に申しあげにくいのですが、今回は落選です。,本当に申しづらいのですが、今年の選挙は不合格です。,とても申しづらいのですが、今年の選挙は当選しませんでした。,本当に言いにくいけど、今年の選挙は残念。,言う,
この度のこと、心からお礼申しあげます。,このたび、気持ちを込めて申し上げます。,このたび私自身もお礼申し上げます。,私達からのお礼ね。,言う,
大変申しづらいのですが、ご勘定お忘れではございませんか?,大変申しかねますが、お会計をお忘れではございませんか?,少し申しづらいのですが、お支払いお忘れではございませんか?,はっきりとは言いづらいけど、お会計して。,言う,
残業代の件を申し出たのは、店長です。,残業代のことを申したのは、店長です。,残業代のお話があったのは、店長からです。,残業代の話を述べたのは、店長だよ。,言う,
お役所仕事には、物申したいことが多すぎます。,お役所仕事には、言いたいことが沢山あります。,役所仕事には、お話したいことが山ほどあります。,お役所仕事に言いたい意見が集まっている。,言う,
立派な家が建ちましたね。,いいお家ができましたね。,広い家が建ちましたね。,大きい家が出来たね。,家,住む
立派なお住まいですね、お庭も広くて。,いいお住まいですね、お庭も大きいし。,広いお住まいですね、庭もきれいだし。,大きいお住まいだね、庭も広々としていて。,家,住む
降つてきましたね、お宅まで車でお送りしましょう。,雨が降りましたね、ご自宅に車で送りましょうか。,突然の雨ですね、自宅まで車で送りましょうか。,雨が降ったので車に入らないか、自宅まで送るよ。,家,住む
ご自宅はこのお近くですか?,ご自宅はこの近所ですか?,自宅はこの辺りですか?,自宅はこの付近?,家,住む
これは、ご邸宅と呼ぶにふさわしい純和風建築ですね。,これは、ご邸宅とも呼ぶほど立派な建築ですね。,これは、お金持ちに見えるほど立派な素材で建てられていますね。,これは、ご邸宅とも呼べるほどいい建築だ。,家,住む
まるで御殿のようなお住まいですね。,まるで主役になるお住まいですね。,まるでこの都市の名物にもなる住まいですね。,まるで都市の中心になる住まい。,家,住む
お近くにお出の節は、どうぞ小宅をお訪ねください。手紙文,お近くに出る場合は、私の自宅までお尋ねください。,近くに出る場合は、気軽に私の家に寄って下さい。,近くに見える場合は、私の家まで来て。,家,住む
たまには拙宅へも、お立ち寄りください。手紙文,たまにはこちらにもお立ち寄り下さい。手紙文,ときには私の家もお尋ね願います。手紙文,ときには私の自宅まで来て。手紙文,家,住む
この家には、三世代十人がお住みになっているんですか?,お宅には三世代の方々がいますか?,お宅には祖母祖父もお住まいですか?,お宅には孫も住んでる?,家,住む
急なご転勤で、結局あの家には住まわれなかったんですか?,急のご転勤で、他の家にお住みになるのでしょうか?,急のご転勤で、住まいの場所も変更しましたか?,突然の転勤で、住まいも変更した?,家,住む
お姑さんとご同居ですか...,夫の母と同居ですか…,夫の母と一緒に住んでいるのですか…,お姑と一緒に住んでるのか…,家,住む
部長は、息子さんご家族と同居なさっているそうですね。,部長は、息子のご家族と一緒に住んでいるようですね。,部長は、息子の両親と一緒に住んでいるようですね。,部長は、息子の親と同居しているみたい。,家,住む
今のお部屋が、お手狭なんですね。,今のお部屋が寛ぎにくいのですね。,今の部屋が少し小さいのですね。,今のお部屋の狭さが気になっているのだね。,家,住む
これだけ広いと、お庭のお手入れも大変でしょうね。,これだけ大きいと、お庭の掃除も大変でしょうね。,これだけ庭が広いと、手入れも大変でしょうね。,これだけお庭が大きいと、掃除に時間がかかるかな。,家,住む
こんなに立派なご門構えの家は、最近珍しいですね。,こんなにしっかりした門は、近頃珍しいですね。,この門はよく手入れされていますね。,こんなに立派な門は今は珍しい・,家,住む
寒い時のお勝手仕事は大変ですね。,寒いときの料理屋掃除は大変ですね。,冬の料理や掃除は寒くて大変ですね。,寒いときの家事は大変だね。,家,
三河屋さん、お勝手口へ回ってちょうだい。,三河屋さん、裏口に来てちょうだい。,三河屋さん、裏口に回って下さい。,三河屋さん、裏玄関でお願い。,家,
お釜で焚いたご飯は格別に美味しいですね。,お釜で炊いたご飯はとても美味しいですね。,お釜を使ったご飯は本当に美味しいですね。,お釜の食事は本当に美味しい。,家,
子どもの頃、おくどさんの前で、よく漫画を読みました。,子供のとき、かまどの前で、よく漫画を読みました。,子供の頃、かまどの横で漫画を読みました。,子供の頃は、かまどで温まりながら漫画を読んだ。,家,
彼の実家のお蔵には、お宝が眠っているらしいですよ。,彼の実家の倉庫には、お金になるものがあるらしいですよ。,彼の実家の蔵には、いいものが眠っているらしいですよ。,彼の実家のお蔵には、貴重品が眠っているらしい。,家,
お玄関にどなたかいらっしやってますよ。,お玄関に誰かいらっしゃいますよ。,表玄関に誰か来ていますよ。,表玄関に誰か待っているようだよ。,家,
お客様を奥のお座敷にお通ししてください。,お客様を和室にお呼び下さい。,お客様を座敷にお呼び下さい。,お客様を客室に呼んで。,家,
いい風だから、お障子は開けておきましょうね。,風が気持ちいいので、お障子は開けておきましょうね。,風を通すため、障子は開けておきましょうね。,風通しよくするために、障子は開けよう。,家,
お台所は、使ったらきれいに片しておかないと駄目ですよ。,お台所は使用した後元に戻してきれいにしておかないといけませんよ。,台所は元のあったようにしておかないといけませんよ。,台所は片づけまでしておかないといけないよ。,家,
お孫さんは、いつもお茶の間の人気者ですね。,お孫さんは、皆から人気者ですね。,お孫さんは誰からも愛されますね。,お孫さんは家族の人気者だね。,家,
お納戸のあるお宅が羨ましいわ。,お網戸のある部屋に住みたいわ。,網戸のある部屋が気に入っているわ。,網戸を自宅にもつけたいわ。,家,建物？
子どもの頃、お仏間がなんだか気味悪いと思っていました。,子供の頃、仏壇の部屋が怖いと思っていました。,子供のとき、仏壇の部屋が暗いと思っていました。,子供のとき、お仏間を恐れていた。,家,
広くて落ち着きのあるご仏間ですね。,広々として安心出来るご仏間ですね。,大きくて広いご仏間ですね。,心が安定するような広いお仏間だね。,家,
